Project ID,Participating organisation,Participating organisation ref,Project title,Project description,Project result,Project status,Budget period start,Budget period end,Budget amount,Budget currency,Project location,Contact organisation,Contact email,Parent project ID,Start date,End date,Cluster
41122-Nepal-2970/A0/05/805/006,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/007,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/04/516/003,UNICEF,41122,IR3 : Supply & Procurement Management,IR3 : Supply & Procurement Management,,Completion,2012-01-01,2012-12-31,104422,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/516 PCR 7 - CROSS SECTORAL,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/800/001,UNICEF,41122,"Leadership management including the salaries and related non-staff costs of Representative, Deputy Representative, Chief of Operations, Information/ Communications staff, ICT Staff covered under BSB Functions 2, 4, 8 and 11,","Leadership management including the salaries and related non-staff costs of Representative, Deputy Representative, Chief of Operations, Information/ Communications staff, ICT Staff covered under BSB Functions 2, 4, 8 and 11,",,Completion,2012-01-01,2012-12-31,65612,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/800 PCR 8 - SUPPORT,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/05/601/009,UNICEF,41122,"By 2017, policies, strategy, guidance and budget of four sectors (WASH, Education, Child Protection, and Health and Nutritionincluding HIV and AIDS integrate DRR and CCA for disaster risk management with special attention to most at risk children,adolescents, especially girls, and women","By 2017, policies, strategy, guidance and budget of four sectors (WASH, Education, Child Protection, and Health and Nutritionincluding HIV and AIDS integrate DRR and CCA for disaster risk management with special attention to most at risk children,adolescents, especially girls, and women",,Implementation,2016-01-01,2016-12-31,562100,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/603/004,UNICEF,41122,"By 2017, in selected districts and municipalities, adolescent girls and boys are applying age, sex, and issue appropriate lifeskills to influence decisions that affect their development","By 2017, in selected districts and municipalities, adolescent girls and boys are applying age, sex, and issue appropriate lifeskills to influence decisions that affect their development",,Implementation,2014-01-01,2014-12-31,480000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/603 PCR3: SOCIAL NORMS & BEHAVIOURS CHANGED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/008,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/04/800/002,UNICEF,41122,"Management of financial and other assets of the organization, includingAdmin/Finance Staff salaries  and administrative services, rent, officefurniture and equipment, office security, maintenance and vehicles covered under BBS Functions 10 and 12","Management of financial and other assets of the organization, includingAdmin/Finance Staff salaries  and administrative services, rent, officefurniture and equipment, office security, maintenance and vehicles covered under BBS Functions 10 and 12",,Completion,2012-01-01,2012-12-31,763388,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/800 PCR 8 - SUPPORT,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/05/602/001,UNICEF,41122,"By 2017, selected district and municipal health systems are able to provide quality, gender-sensitive and equitable maternal,neonatal, child and adolescent health and HIV services","By 2017, selected district and municipal health systems are able to provide quality, gender-sensitive and equitable maternal,neonatal, child and adolescent health and HIV services",,Implementation,2013-01-01,2013-12-31,1206000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/603/005,UNICEF,41122,"By 2017, children, families, communities and society acquire knowledge, attitudes and take action to protect all and adolescents,especially girls, at risk or victims of abuse, neglect and exploitation, in selected districts and municipalities","By 2017, children, families, communities and society acquire knowledge, attitudes and take action to protect all and adolescents,especially girls, at risk or victims of abuse, neglect and exploitation, in selected districts and municipalities",,Implementation,2015-01-01,2015-12-31,1223200,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/603 PCR3: SOCIAL NORMS & BEHAVIOURS CHANGED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/009,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/010,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/04/800/003,UNICEF,41122,"Human Resource management, including HR staff Salaries & staff development and learning, staff well-being, overtime & night differential and staff-related security costs covered under BSB functions 13 and 16","Human Resource management, including HR staff Salaries & staff development and learning, staff well-being, overtime & night differential and staff-related security costs covered under BSB functions 13 and 16",,Completion,2012-01-01,2012-12-31,99203,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/800 PCR 8 - SUPPORT,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/05/602/002,UNICEF,41122,"By 2017, access to and utilization of essential nutrition services increased targeting newborn, infant, young children, adolescents,  pregnant and lactating women, HIV affected children and women, and children and women with disabilities","By 2017, access to and utilization of essential nutrition services increased targeting newborn, infant, young children, adolescents,  pregnant and lactating women, HIV affected children and women, and children and women with disabilities",,Implementation,2016-01-01,2016-12-31,807850,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/603/006,UNICEF,41122,"By 2017, in selected districts and municipalities, public opinion, media, community networks, employers, government institutions,religious organizations, local political leaders and families address harmful social norms and practices affecting the rights ofchildren, adolescents, especially girls, and women","By 2017, in selected districts and municipalities, public opinion, media, community networks, employers, government institutions,religious organizations, local political leaders and families address harmful social norms and practices affecting the rights ofchildren, adolescents, especially girls, and women",,Implementation,2015-01-01,2015-12-31,207860,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/603 PCR3: SOCIAL NORMS & BEHAVIOURS CHANGED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/011,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/DM/01/001/001,UNICEF,41122,NEPAL COUNTRY PROGRAMME,NEPAL COUNTRY PROGRAMME,,Completion,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/DM/01/001 NEPAL COUNTRY PROGRAMME,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/800/888,UNICEF,41122,HR,HR,,Completion,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/800 PCR 8 - SUPPORT,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/800/999,UNICEF,41122,PRIOR-YEAR COMMITMENTS,PRIOR-YEAR COMMITMENTS,,Completion,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/800 PCR 8 - SUPPORT,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/05/602/003,UNICEF,41122,"By 2017, people living in selected districts, VDCs and municipalities (including schools and vulnerable communities) increasinglystop open defecation and utilize and participate in managing safe and sustainable, gender- and disability-friendly sanitationfacilities and functional water supply facilities","By 2017, people living in selected districts, VDCs and municipalities (including schools and vulnerable communities) increasinglystop open defecation and utilize and participate in managing safe and sustainable, gender- and disability-friendly sanitationfacilities and functional water supply facilities",,Implementation,2014-01-01,2014-12-31,2109400,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/603/007,UNICEF,41122,"By 2017, in selected districts and municipalities, children, adolescent girls and boys, women and other disadvantaged groupsmeaningfully participate in decision-making bodies","By 2017, in selected districts and municipalities, children, adolescent girls and boys, women and other disadvantaged groupsmeaningfully participate in decision-making bodies",,Implementation,2014-01-01,2014-12-31,289700,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/603 PCR3: SOCIAL NORMS & BEHAVIOURS CHANGED,2013-01-01,2017-12-31,
41122-Nepal-2970/DM/01/800/999,UNICEF,41122,PRIOR-YEAR COMMITMENTS,PRIOR-YEAR COMMITMENTS,,Completion,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/DM/01/800 PROGRAMME SUPPORT,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/05/601/001,UNICEF,41122,"By 2017, national and subnational health related policies and strategies address equity in maternal newborn, child and adolescenthealth including HIV outcomes with continuum of care","By 2017, national and subnational health related policies and strategies address equity in maternal newborn, child and adolescenthealth including HIV outcomes with continuum of care",,Implementation,2013-01-01,2013-12-31,440760,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/602/004,UNICEF,41122,"By 2017, in selected districts and municipalities, young children (up to 5 years), especially the most vulnerable, have increasedaccess to holistic developmental opportunities for improved school readiness","By 2017, in selected districts and municipalities, young children (up to 5 years), especially the most vulnerable, have increasedaccess to holistic developmental opportunities for improved school readiness",,Implementation,2013-01-01,2013-12-31,720300,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/800/001,UNICEF,41122,Office Management Costs,Office Management Costs,,Implementation,2016-01-01,2016-12-31,31000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/800 PCR SUPPORT,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/602/005,UNICEF,41122,"By 2017, in selected districts and municipalities, children particularly girls and marginalized children, have increased access toand complete uninterrupted child-friendly basic and secondary education","By 2017, in selected districts and municipalities, children particularly girls and marginalized children, have increased access toand complete uninterrupted child-friendly basic and secondary education",,Implementation,2015-01-01,2015-12-31,1900000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/800/002,UNICEF,41122,Office Management Costs,Office Management Costs,,Implementation,2013-01-01,2013-12-31,750200,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/800 PCR SUPPORT,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/601/002,UNICEF,41122,"By 2017, the Multi-Sectoral Nutrition Plan, targeting the most vulnerable newborn, infant and young children, adolescents,especially girls, pregnant and lactating women, HIV affected children and women, and children and women with disabilities, haspolitical commitment and sectoral budget allocation","By 2017, the Multi-Sectoral Nutrition Plan, targeting the most vulnerable newborn, infant and young children, adolescents,especially girls, pregnant and lactating women, HIV affected children and women, and children and women with disabilities, haspolitical commitment and sectoral budget allocation",,Implementation,2017-01-01,2017-12-31,541940,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/602/006,UNICEF,41122,"By 2017, in selected districts and municipalities, children and adolescents at risk or victims of abuse, neglect and exploitation,children affected by conflict and by AIDS, and children with disabilities benefit from quality social welfare services whichaddress the specific needs of boys and girls","By 2017, in selected districts and municipalities, children and adolescents at risk or victims of abuse, neglect and exploitation,children affected by conflict and by AIDS, and children with disabilities benefit from quality social welfare services whichaddress the specific needs of boys and girls",,Implementation,2014-01-01,2014-12-31,2073900,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/800/003,UNICEF,41122,Office Management Costs,Office Management Costs,,Implementation,2015-01-01,2015-12-31,35100,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/800 PCR SUPPORT,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/804/001,UNICEF,41122,"Operation cost (Office premises rent, Office security & ancillary services, Communication, office supplies/miscellaneous services,vehicle maintenance, fuel etc)","Operation cost (Office premises rent, Office security & ancillary services, Communication, office supplies/miscellaneous services,vehicle maintenance, fuel etc)",,Implementation,2016-01-01,2016-12-31,2215790,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/804 PCR CROSS SECTORAL,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/601/003,UNICEF,41122,"By 2017, a National WASH programme and finance strategy are formulated, approved and regularly monitored to improve equitableaccess, gender sensitivity, sustainability, and efficiency of the sector","By 2017, a National WASH programme and finance strategy are formulated, approved and regularly monitored to improve equitableaccess, gender sensitivity, sustainability, and efficiency of the sector",,Implementation,2013-01-01,2013-12-31,578500,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/602/007,UNICEF,41122,"By 2017, in selected districts and municipalities, children and adolescents who are victims, witnesses, offenders or who are incontact with the law for any other reason, have access to child and gender sensitive formal justice.","By 2017, in selected districts and municipalities, children and adolescents who are victims, witnesses, offenders or who are incontact with the law for any other reason, have access to child and gender sensitive formal justice.",,Implementation,2016-01-01,2016-12-31,1746540,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/804/002,UNICEF,41122,"Communications, Emergency and Other Cross Sectoral Programme costs","Communications, Emergency and Other Cross Sectoral Programme costs",,Implementation,2014-01-01,2014-12-31,600000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/804 PCR CROSS SECTORAL,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/602/008,UNICEF,41122,"By 2017, Government institutional capacity strengthened for effective registration, delivery and monitoring of social protectionbenefits","By 2017, Government institutional capacity strengthened for effective registration, delivery and monitoring of social protectionbenefits",,Implementation,2015-01-01,2015-12-31,469200,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/804/003,UNICEF,41122,Efficient and effective Cross Cutting and Operating costs,Efficient and effective Cross Cutting and Operating costs,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/804 PCR CROSS SECTORAL,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/601/004,UNICEF,41122,"By 2017, national level education policies and strategies demonstrate greater gender and social equity","By 2017, national level education policies and strategies demonstrate greater gender and social equity",,Implementation,2017-01-01,2017-12-31,909600,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/601/005,UNICEF,41122,"By 2017, the enabling environment including governance system strengthened to protect, inform and empower adolescent boys and girlsto claim their rights and provides opportunities for their participation","By 2017, the enabling environment including governance system strengthened to protect, inform and empower adolescent boys and girlsto claim their rights and provides opportunities for their participation",,Implementation,2017-01-01,2017-12-31,556800,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/602/009,UNICEF,41122,"By 2017, in selected districts and municipalities, local bodies maintain a child- and gender-friendly governance system forintegrated planning, monitoring and investment in accordance with their child profile, investment plan, status report and minimumindicators on child survival, development, protection and participation","By 2017, in selected districts and municipalities, local bodies maintain a child- and gender-friendly governance system forintegrated planning, monitoring and investment in accordance with their child profile, investment plan, status report and minimumindicators on child survival, development, protection and participation",,Implementation,2014-01-01,2014-12-31,1706960,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/001,UNICEF,41122,Education- Emergency Earthquake Response,Education- Emergency Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/04/511/002,UNICEF,41122,Children-in particular girls and marginalized groups  in MDAG VDCs of DACAW & Girls' Education districts and  humanitarian crisis affected districts have increased access to child-friendly  learning environment ( including WASH facilities )as defined by the National Framework of the MoE/DoE,Children-in particular girls and marginalized groups  in MDAG VDCs of DACAW & Girls' Education districts and  humanitarian crisis affected districts have increased access to child-friendly  learning environment ( including WASH facilities )as defined by the National Framework of the MoE/DoE,,Completion,2012-01-01,2012-12-31,2470398,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/511 PCR 2 - EDUCATION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/515/001,UNICEF,41122,"National  WASH Programme formulated, ensuring the incorporation of gender, social inclusion and equity issues","National  WASH Programme formulated, ensuring the incorporation of gender, social inclusion and equity issues",,Completion,2012-01-01,2012-12-31,140819,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/515 PCR 6 - WASH,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/511/003,UNICEF,41122,"Stakeholders (Implementing partners: govt, I/NGOs, SMCs, children, civil societies, education cluster members, communities, young people )  have knowledge and skills to address DRR  and manage humanitarian crisis","Stakeholders (Implementing partners: govt, I/NGOs, SMCs, children, civil societies, education cluster members, communities, young people )  have knowledge and skills to address DRR  and manage humanitarian crisis",,Completion,2012-01-01,2012-12-31,560687,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/511 PCR 2 - EDUCATION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/515/002,UNICEF,41122,"HHHs and institutions especially in MDAG VDCs in DACAW, diarrhoea prone& low sanitation coverage districts increasingly utilise improved sanitation, hygiene and water supply facilities.","HHHs and institutions especially in MDAG VDCs in DACAW, diarrhoea prone& low sanitation coverage districts increasingly utilise improved sanitation, hygiene and water supply facilities.",,Completion,2012-01-01,2012-12-31,1583720,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/515 PCR 6 - WASH,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/511/004,UNICEF,41122,"Stakeholders (DEOs, teachers, SMCs  and PTAs, community, children) haveknowledge and skills  to address and understand  transparency and accountability  issues in the schools  in DACAW and GE distircts.","Stakeholders (DEOs, teachers, SMCs  and PTAs, community, children) haveknowledge and skills  to address and understand  transparency and accountability  issues in the schools  in DACAW and GE distircts.",,Completion,2012-01-01,2012-12-31,683984,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/511 PCR 2 - EDUCATION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/515/003,UNICEF,41122,Cluster leadership and equitable access and use of emergency WASH services in line with the CCCs and Sphere standards,Cluster leadership and equitable access and use of emergency WASH services in line with the CCCs and Sphere standards,,Completion,2012-01-01,2012-12-31,150025,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/515 PCR 6 - WASH,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/515/004,UNICEF,41122,"Program Management - financial/technical (operational/salary, allowances costs - Chief/Prog. Assist./JPO/SSA).","Program Management - financial/technical (operational/salary, allowances costs - Chief/Prog. Assist./JPO/SSA).",,Completion,2012-01-01,2012-12-31,339551,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/515 PCR 6 - WASH,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/511/005,UNICEF,41122,National Level Education Programme Management Cost,National Level Education Programme Management Cost,,Completion,2012-01-01,2012-12-31,238804,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/511 PCR 2 - EDUCATION,2012-01-01,2012-12-31,
41122-Nepal-2970/A0/04/512/001,UNICEF,41122,"Pregnant women and adolescents from MARP groups in intervention areas ,who need ARV treatment  are empowered to opt for appropriate services for themselves and their children.","Pregnant women and adolescents from MARP groups in intervention areas ,who need ARV treatment  are empowered to opt for appropriate services for themselves and their children.",,Completion,2012-01-01,2012-12-31,339213,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/04/512 PCR 3 - HIV&AIDS,2012-01-01,2012-12-31,
